movie_id,movie_name,director,writer,stars,description,poster,year_genre,total_weighted,num_ratings
12345678,Once Upon a Time... in Hollywood,Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie","As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way.",movie_posters/ouatih.jpg,2019 | Comedy/Western | 2h 40m,8.9,1
23456789,The Batman(2022),Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Robert Pattinson, Zoe Kravitz, Jeffrey Wright","When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.",movie_posters/tb.jpg,2022 | Action/Crime | 2h 56m,87,10
34567890,Black Swan,Darren Aronofsky,"Mark Heyman, Andres Heinz, John J. McLaughlin","Natalie Portman, Mila Kunis, Vincent Cassel","Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",movie_posters/bs.jpg,2010 | Horror/Drama | 1h 48m,9,1
45678901,Inception,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",movie_posters/inception.jpg,2010 | Sci-fi/Action | 2h 28m,9.8,1
56789012,Barbie,Greta Gerwig,"Greta Gerwig, Noah Baumbach","Margot Robbie, Ryan Gosling, Issa Rae","Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans.",movie_posters/barbie.jpg,2023 | Comedy/Fantasy | 1h 54m,120.1,16
67890123,Oppenheimerr,Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Matt Damon","A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",movie_posters/oppenheimer.jpg,2023 | Drama/History | 3h,8.3,1
78901234,The Long Shot,Jonathan Levine,"Dan Sterling, Liz Hannah","Charlize Theron, Seth Rogen, June Diane Raphael","Journalist, Fred Flarsky, reunites with his childhood crush, Charlotte Field; now one of the most influential women in the world. As she prepares to run for president, Charlotte hires Fred as her speechwriter, and sparks fly.",movie_posters/tls.jpg,2019 | Comedy/Romance | 2h 5m,6.3,1
89012345,3 Below: Tales of Arcadia,Guillermo del Toro,Guillermo del Toro,"Tatiana Maslany, Diego Luna, Nick Offerman",A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,movie_posters/3b.jpg,2018 | Sci-fi | 2 seasons,9.5,1
90123456,The Prestige,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest","Christian Bale, Hugh Jackman, Scarlett Johansson",Rival 19th-century magicians engage in a bitter battle for trade secrets.,movie_posters/tp.jpg,2006 | Thriller/Sci-fi | 2h 10m,9.9,1
12345670,Interstellar,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",movie_posters/interstellar.jpg,2014 | Sci-fi/Adventure | 2h 49m,8.7,1
